service_id,date,exception_type
1455,20170430,1
1455,20170524,1
1455,20170604,1
1455,20171002,1
1455,20171030,1
1456,20170119,2
1456,20170202,2
1456,20170413,2
1456,20170417,2
1456,20170501,2
1456,20170524,2
1456,20170525,2
1456,20170605,2
1456,20171002,2
1456,20171003,2
1456,20171030,2
1456,20171031,2
1457,20170119,2
1457,20170202,2
1457,20170205,2
1457,20170413,2
1457,20170414,1
1457,20170416,2
1457,20170430,2
1457,20170524,2
1457,20170604,2
1457,20171002,2
1457,20171030,2
1458,20170119,2
1458,20170413,2
1458,20170414,1
1458,20170416,2
1458,20170430,2
1458,20170524,2
1458,20170604,2
1458,20171002,2
1458,20171030,2
1459,20170206,1
1459,20170207,1
1459,20170208,1
1459,20170212,1
1460,20170202,2
1460,20170205,2
1460,20170206,2
1460,20170207,2
1460,20170208,2
1460,20170212,2
1460,20170219,2
1460,20170413,2
1460,20170414,1
1460,20170416,2
1460,20170430,2
1460,20170524,2
1460,20170604,2
1460,20171002,2
1460,20171030,2
1461,20170202,1
1461,20170205,1
1462,20170202,1
1462,20170203,1
1462,20170204,1
1463,20170203,2
1463,20170206,2
1463,20170414,2
1463,20170417,2
1463,20170501,2
1463,20170525,2
1463,20170605,2
1463,20171003,2
1463,20171031,2
1464,20170204,2
1464,20170206,1
1464,20170416,1
1464,20170430,1
1464,20170604,1
1465,20170119,2
1465,20170123,2
1465,20170204,2
1465,20170205,2
1465,20170413,2
1465,20170414,1
1465,20170524,2
1465,20171002,2
1465,20171030,2
1466,20170119,2
1466,20170123,2
1466,20170202,2
1466,20170204,2
1466,20170205,2
1466,20170413,2
1466,20170414,1
1466,20170524,2
1466,20171002,2
1466,20171030,2
1467,20170119,2
1467,20170123,2
1467,20170202,2
1467,20170203,2
1467,20170204,2
1467,20170205,2
1468,20170119,2
1468,20170123,2
1468,20170202,2
1468,20170205,2
1468,20170413,2
1468,20170414,1
1468,20170416,2
1468,20170430,2
1468,20170524,2
1468,20170604,2
1468,20171002,2
1468,20171030,2
1469,20170119,2
1469,20170123,2
1469,20170202,2
1469,20170413,2
1469,20170417,2
1469,20170501,2
1469,20170524,2
1469,20170525,2
1469,20170605,2
1469,20171002,2
1469,20171003,2
1469,20171030,2
1469,20171031,2
1470,20170202,2
1470,20170205,2
1470,20170413,2
1470,20170414,1
1470,20170416,2
1470,20170430,2
1470,20170524,2
1470,20170604,2
1470,20171002,2
1470,20171030,2
1471,20170202,1
1471,20170203,1
1472,20170202,2
1472,20170203,2
1472,20170204,2
1472,20170205,2
1473,20170119,2
1473,20170120,2
1473,20170121,2
1473,20170122,2
1473,20170123,2
1473,20170124,2
1473,20170125,2
1473,20170126,2
1473,20170127,2
1473,20170128,2
1473,20170129,2
1473,20170130,2
1473,20170131,2
1473,20170201,2
1473,20170202,2
1473,20170203,2
