agency_id,route_id,route_short_name,route_long_name,route_type,route_color
1,10141_109,S1,,109,080000
1,10142_109,S1,,109,080000
1,10143_109,S2,,109,080000
1,10144_109,S2,,109,080000
1,10145_109,S25,,109,080000
1,10148_109,S3,,109,080000
1,10149_109,S3,,109,080000
1,10150_109,S3,,109,080000
1,10154_109,S45,,109,080000
1,10155_109,S46,,109,080000
1,10157_109,S5,,109,080000
1,10158_109,S5,,109,080000
1,10159_109,S5,,109,080000
1,10160_109,S5,,109,080000
1,10162_109,S7,,109,080000
1,10163_109,S7,,109,080000
1,10165_109,S75,,109,080000
1,10166_109,S75,,109,080000
1,10167_109,S8,,109,080000
1,10170_109,S9,,109,080000
1,10223_109,S41,,109,080000
1,10224_109,S41,,109,080000
1,10226_109,S42,,109,080000
1,10227_109,S42,,109,080000
1,10229_109,S47,,109,080000
1,10271_109,S9,,109,080000
1,10276_109,S1,,109,080000
1,10277_109,S1,,109,080000
1,11536_109,S46,,109,080000
1,11537_109,S46,,109,080000
1,12003_109,S85,,109,080000
